day,w_temp_4C,w_temp_6C,w_temp_8C,w_temp_10C,w_temp_12C,w_temp_14C,w_temp_16C,w_temp_18C,w_temp_20C
228,115.886217,205.962455,385.331446,660.5662,925.428593,993.1411,806.088357,514.255869,282.355097
229,116.264257,207.006082,387.917173,665.783042,933.339377,1001.757967,812.770603,518.045871,284.030349
230,116.643158,208.053404,390.515016,671.02864,941.297351,1010.427005,819.491508,521.855372,285.712543
231,117.022923,209.104428,393.125008,676.303087,949.302675,1019.148391,826.251199,525.684431,287.401696
232,117.403553,210.159162,395.747181,681.606471,957.355509,1027.922306,833.049803,529.533104,289.097824
233,117.785048,211.217613,398.381567,686.938884,965.456013,1036.748931,839.88745,533.401449,290.800945
234,118.16741,212.279789,401.028199,692.300416,973.604349,1045.628445,846.764265,537.289522,292.511074
235,118.550639,213.345697,403.687109,697.691157,981.800677,1054.56103,853.680377,541.197382,294.228227
236,118.934738,214.415345,406.35833,703.111198,990.045158,1063.546865,860.635914,545.125085,295.952422
237,119.319707,215.48874,409.041894,708.560631,998.337953,1072.586131,867.631004,549.072688,297.683674
238,119.705547,216.56589,411.737834,714.039545,1006.679223,1081.67901,874.665774,553.040251,299.422
239,120.092259,217.646801,414.446182,719.548031,1015.06913,1090.825683,881.740354,557.027829,301.167417
240,120.479845,218.731483,417.166971,725.086181,1023.507836,1100.02633,888.854871,561.03548,302.919941
241,120.868305,219.819941,419.900233,730.654086,1031.995501,1109.281133,896.009454,565.063262,304.679589
242,121.257641,220.912185,422.646001,736.251836,1040.532289,1118.590274,903.204231,569.111233,306.446377
243,121.647854,222.00822,425.404307,741.879522,1049.118359,1127.953933,910.439331,573.179451,308.220321
244,122.038945,223.108055,428.175185,747.537236,1057.753876,1137.372294,917.714882,577.267972,310.001439
245,122.430915,224.211697,430.958666,753.22507,1066.439,1146.845538,925.031014,581.376854,311.789746
246,122.823765,225.319154,433.754784,758.943113,1075.173894,1156.373847,932.387855,585.506156,313.585259
247,123.217497,226.430433,436.563571,764.691459,1083.95872,1165.957404,939.785534,589.655936,315.387995
248,123.612111,227.545541,439.38506,770.470198,1092.793642,1175.59639,947.224181,593.82625,317.197971
249,124.007609,228.664487,442.219284,776.279422,1101.678821,1185.290989,954.703925,598.017158,319.015202
250,124.403991,229.787278,445.066275,782.119222,1110.614421,1195.041383,962.224894,602.228716,320.839706
251,124.801259,230.913921,447.926066,787.98969,1119.600605,1204.847755,969.787219,606.460983,322.671499
